Date,RGDP,HICP,M1,M3,LNFC,LHH,LNFPS,LRNFCSPR,LRHHSPR,LRNFPSSPR,CRSPR,YC3M,YC1Y,YC2Y,YC3Y,YC2YW,YCEONIA,EATEDSPR,STP,USDEUROXRATE,NEER,VSTOXX,FCIBME,FCIVAR,FCIIPA,FCIBBG,FCIGS,CISS,CISSnew,OILPUSD,GAPPEURUSD,RAWMATPUSD,IP,UR,EMPL,RETTRADE,EUROCOIN,ESI,INDCONF,CSTRCONF,STOASSESS,BCI,CONCONF,RETCONF,SERVCONF,PMIMAN,PMICOMP
Apr-93,622327,66.6,54.4,66,1723082.3,1665074.1,3388156.4,0.8,1,0.9,0.3,-0.5,,0.4,0.4,,,1.7,110.9,1.2,75.9,,,,,,,0.052,0.02,18.433,2.68,70.915,76.779,10.044,124101.306,,,73.5,-29.747,-38.155,24.428,-2.493,-17.044,-19.158,,,
May-93,623194,66.7,54.6,66.4,1724938.1,1673617.4,3398555.5,1.3,1.7,1.5,0.2,0.2,,0.8,0.7,,,1.3,109.5,1.2,76.5,,,,,,,0.058,0.019,18.167,2.68,79.181,76.643,10.155,124034.293,,,74.3,-28.912,-35.524,23.463,-2.509,-17.221,-20.945,,,
Jun-93,622792,66.9,55,66.6,1720903,1677354.4,3398257.3,1.2,2,1.6,0.5,0.3,,0.8,0.8,,,0.8,111.7,1.2,76,,,,,,,0.067,0.019,17.467,2.68,79.097,76.245,10.303,123968.557,,,72.5,-28.606,-40.251,23.738,-2.499,-19.175,-25.049,,,
Jul-93,621934,67.1,55.1,66.7,1716875.9,1686639.4,3403515.3,0.7,1.8,1.2,0.5,0,,0.9,0.8,,,1.1,116.5,1.1,74.2,,,,,,,0.087,0.072,16.317,2.66,79.05,75.769,10.432,123794.502,,,72,-28.987,-39.177,25.215,-2.452,-19.051,-20.607,,,
Aug-93,626163,67.2,55.4,67,1725640.4,1699126.6,3424767,0.8,1.7,1.2,0.5,-0.2,,0.8,0.8,,,1.5,125.4,1.1,74.2,,,,,,,0.068,0.093,16.483,2.65,78.397,76.816,10.511,123723.875,,,74,-27.238,-41.676,22.203,-2.295,-18.666,-20.023,,,
Sep-93,626934,67.4,55.7,67.2,1722551.7,1706792.9,3429344.6,1,1.6,1.3,0.5,-0.3,,0.6,0.6,,,1.2,125.1,1.2,77,,,,,,,0.062,0.024,15.9,2.62,76.289,77.126,10.604,123674.344,,,75.9,-25.241,-43.345,21.046,-2.16,-18.109,-20.683,,,
Oct-93,626680,67.6,56.4,67.7,1721296.2,1717009.4,3438305.6,1,1.6,1.3,0.5,-0.3,,0.6,0.6,,,1,129.1,1.1,77.4,,,,,,,0.035,0.008,16.517,2.62,75.815,77.114,10.759,123542.267,,,77.1,-23.147,-39.573,19.79,-2.018,-18.669,-23.578,,,
Nov-93,626155,67.7,57.2,68.2,1720756.5,1725439.4,3446195.9,0.9,1.6,1.2,0.4,0,,0.7,0.8,,,1.1,128.5,1.1,76.3,,,,,,,0.057,0.016,15.2,2.62,73.384,77.321,10.829,123494.029,,,79.8,-20.459,-39.286,17.456,-1.781,-19.157,-16.942,,,
Dec-93,627810,67.8,57.6,68.6,1720149.1,1733597,3453746.1,1,1.8,1.4,0.7,0.1,,0.8,0.8,,,1,134.2,1.1,76.8,,,,,,,0.056,0.008,13.767,2.6,72.372,77.336,10.913,123435.115,,,81,-19.974,-36.952,17.101,-1.73,-17.503,-19.294,,,
Jan-94,629608,68,58.1,68.8,1723073.2,1745732.5,3468805.8,1,1.7,1.4,0.6,-0.2,0.4,0.7,0.8,,,1,138.7,1.1,77.6,,,,,,,0.079,0.008,14.133,2.47,70.47,77.528,10.972,123288.175,,,82.8,-16.952,-37.441,14.874,-1.417,-17.768,-21.931,,,
Feb-94,634968,68.1,58.5,69,1723910,1758810.9,3482720.9,1.1,1.7,1.4,0.4,0,0.5,0.4,0.4,,,1,140.1,1.1,78.6,,,,,,,0.077,0.039,13.783,2.36,71.447,78.6,11.017,123275.845,,,86,-14.484,-36.637,12.986,-1.219,-15.998,-21.601,,,
Mar-94,633969,68.2,59.1,69.3,1722352.6,1768273.1,3490625.7,1.2,1.9,1.6,0.3,0.6,0.8,0.8,0.9,,,0.9,136.7,1.2,80.7,,,,,,,0.084,0.017,13.617,2.36,72.992,78.616,11.053,123271.62,,,88.7,-12.229,-32.239,12.9,-0.959,-14.446,-18.189,,,
Apr-94,637356,68.4,59.2,69.5,1722019.5,1779688.5,3501708,1.3,2.1,1.7,0.3,0.9,1,0.9,0.8,,,1,138.8,1.2,82.1,,,,,,,0.062,0.009,15.083,2.36,76.584,79.977,11.087,123312.284,,,92.8,-8.907,-31.156,9.956,-0.693,-12.197,-19.569,,,
May-94,635254,68.6,59,69.5,1724477.9,1790724.8,3515202.7,1.6,2.4,2,-0.1,1.5,1.5,1.1,0.8,,,1,139.2,1.2,83.9,,,,,,,0.052,0.014,16.283,2.36,79.321,79.852,11.096,123345.914,,,94.6,-7.821,-31.453,10.554,-0.538,-9.999,-18.472,,,
Jun-94,637613,68.7,59.4,69.7,1721574.5,1796599.1,3518173.7,1.6,2.6,2.1,0.1,2.1,1.8,1.4,1,,,1.2,130.2,1.2,84.9,,,,,,,0.049,0.037,17.167,2.36,80.848,80.34,11.092,123394.874,,,95.9,-6.624,-31.111,9.848,-0.355,-8.494,-20.631,,,
Jul-94,639465,68.8,59.5,69.9,1720762.6,1807824.5,3528587.1,1.5,2.7,2.1,0.3,2.1,1.6,1.4,1,,,1.4,130.6,1.2,87.2,,,,,,,0.055,0.048,17.883,2.42,81.028,80.535,11.007,123386.386,,,98.8,-4.402,-27.867,6.865,-0.228,-8.637,-17.953,,,
Aug-94,640839,69,59.8,69.9,1733259.9,1822482.8,3555742.7,1.5,2.7,2.1,0,2.3,1.6,1.1,0.7,,,1.4,134.3,1.2,87.6,,,,,,,0.043,0.017,17,2.46,80.26,80.642,10.972,123443.088,,,100.2,-2.794,-24.996,7.029,-0.073,-7.922,-18.692,,,
Sep-94,641731,69.1,59.9,69.9,1734197.2,1832070.4,3566267.6,1.8,3,2.4,0,2.7,1.8,1.4,1,,,1.3,130.8,1.2,88.1,,,,,,,0.047,0.007,16.2,2.48,78.391,81.222,10.944,123482.426,,,102.8,-0.718,-22.965,4.901,0.128,-7.115,-15,,,
Oct-94,643395,69.3,60.2,70.2,1737758.6,1842511.7,3580270.3,1.7,3.1,2.4,-0.1,2.7,1.9,1.6,1,,,1.2,126.4,1.3,89.6,,,,,,,0.054,0.043,16.467,2.56,76.063,81.995,11.012,123460.665,,,104.5,1.647,-21.687,4.2,0.374,-7.306,-14.654,,,
Nov-94,645237,69.4,60,70.4,1742034.1,1851185.7,3593219.8,1.7,3.1,2.5,0.1,2.7,1.9,1.5,1.1,,,1.2,128.2,1.2,89.3,,,,,,,0.04,0.041,17.083,2.57,75.153,82.634,10.972,123513.98,,,104.2,2.503,-22.65,4.361,0.502,-7.7,-19.145,,,
Dec-94,649377,69.5,60,70.2,1746151.6,1859100.9,3605252.6,1.5,2.9,2.2,0.3,2.5,1.6,1.1,0.6,,,1.3,127.3,1.2,88.6,,,,,,,0.041,0.018,15.94,2.56,74.943,83.495,10.942,123559.447,,,104.6,3.499,-21.403,3.892,0.656,-8.125,-20.535,,,
Jan-95,648211,69.7,60,70.5,1762140.2,1874044.1,3636184.3,1.5,3,2.3,0.4,2.7,1.7,1.6,1.1,,,1.5,125.6,1.3,90.4,,,,,,,0.03,0.02,16.9,2.66,77.499,82.982,10.88,124166.01,83.172,,103.9,3.075,-23.402,4.031,0.705,-8.422,-19.401,,,
Feb-95,650181,69.8,60.5,70.8,1774638.4,1889295.4,3663933.8,1.6,3.1,2.4,0,2.6,1.7,1.4,1,,,1.5,126.8,1.3,91.7,,,,,,,0.02,0.007,17.417,2.66,77.313,83.026,10.84,124249.688,83.925,,104.3,3.722,-25.947,3.243,0.811,-8.712,-15.04,,,
Mar-95,650632,70,60.5,70.8,1785849.2,1901008,3686857.2,0.6,2,1.3,0.2,1.9,1.4,1.8,1.4,,,2.5,122.2,1.3,94,,,,,,,0.042,0.051,17.347,2.65,77.725,82.977,10.791,124323.648,84.185,,102.5,2.073,-27.389,3.598,0.702,-8.818,-20.481,,,
Apr-95,652532,70.2,60.5,71,1792539,1912686.2,3705225.2,0.8,2.1,1.4,0.2,2,1.6,1.8,1.4,,,2.6,124.8,1.3,94.6,,,,,,,0.031,0.079,18.647,2.71,79.613,83.277,10.736,124376.987,83.67,,105.3,1.058,-27.986,4.137,0.641,-8.214,-19.632,19.062,,
May-95,654366,70.3,60.9,71.4,1802512.3,1924025.7,3726538,1.2,2.2,1.7,0.4,1.7,1.5,1.8,1.5,,,2.5,130.8,1.3,94.2,,,,,,,0.037,0.025,18.423,2.71,79.402,83.549,10.746,124424.244,84.23,,104.5,-0.114,-28.901,5.923,0.589,-7.46,-21.868,19.006,,
Jun-95,653572,70.4,61.1,71.8,1806785.7,1929983.1,3736768.8,1.1,1.9,1.5,-0.2,1.7,1.5,1.6,1.2,,,2.6,130.9,1.3,94.6,,,,,,,0.032,0.03,17.363,2.73,75.694,83.177,10.787,124460.513,84.946,,104.3,-1.893,-30.584,7.441,0.358,-7.438,-19.858,20.995,,
Jul-95,653560,70.5,61.2,71.9,1808824.3,1938890.7,3747715,1.2,2.3,1.8,0.1,1.8,1.6,1.8,1.5,,,2.4,134,1.4,95.9,,,,,,,0.022,0.007,16.083,2.8,73.288,83.146,10.851,124494.37,84.943,,104.5,-2.807,-29.064,7.443,0.229,-7.992,-20.09,23.066,,
Aug-95,654237,70.7,61.5,72.4,1824704.5,1951670.7,3776375.2,1.4,2.4,1.9,0,1.8,1.6,1.9,1.5,,,2.2,136.1,1.3,95,,,,,,,0.042,0.01,16.467,2.8,71.462,82.959,10.893,124528.72,84.092,,101.8,-4.428,-31.385,9.694,0.14,-8.241,-22.457,19.313,,
